PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Description of Gene	Interacting Gene	CellOntologyID
20160030	ERBB2	T Marker	Stem cell	Cancer cell	Breast	low-throughput	Western blot;qRT-PCR;Immunofluorescent staining	An RNA interference screen identifies metabolic regulators NR1D1 and PBP as novel survival factors for Breast Cancer cells with the ERBB2 signature	Overexpression of the ERBB2 oncogene is one of the most clinically relevant abnormalities in Breast Cancer. It occurs in 20% to 30% of Breast Cancer cases and is an established adverse predictor of relapse time and survival	NR1D1	CL_0000034
20160030	NR1D1	TF	Stem cell	Cancer cell	Breast	low-throughput	Western blot;qRT-PCR;Immunofluorescent staining	An RNA interference screen identifies metabolic regulators NR1D1 and PBP as novel survival factors for Breast Cancer cells with the ERBB2 signature	NR1D1 and PBP act through a common pathway in upregulating several genes in the de novo fatty acid synthesis network, which is highly active in ERBB2-positive Breast Cancer cells.	ERBB2	CL_0000034
20848248	TTF1	TFMarker	Adenocarcinoma of lung cell	Cancer cell	Lung	low-throughput	Microscopic observation	Expression of Thyroid Transcription Factor-1 in MalignantPleural Effusions	Thyroid transcription factor-1 (TTF-1) is a homeodo-main containing transcription factor expressed selectively inthe thyroid, lung, and diencephalon.		
20861305	BCL2L11	T Marker	Epithelial cell	Cancer cell	Breast	low-throughput	Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis	Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis	Consistent with these data, hypoxic conditions inhibit luminal clearing during morphogenesis in human mammary epithelial acini when grown in three-dimensional cultures and are associated with decreased expression of BCL2L11 and BMF as well as Erk activation. 	HIF1A	CL_0000066
20861305	HIF1A	TF	Epithelial cell	Cancer cell	Breast	low-throughput	Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis	Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis	HIF-1 Is Required for Hypoxia-induced Bim Inhibition and Anoikis Resistance	BMF;BCL2L11	CL_0000066
20861305	BMF	T Marker	Epithelial cell	Cancer cell	Breast	low-throughput	Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis	Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis	BMF is a marker in epithelial cells	HIF1A	CL_0000066
20862275	ZAP70	I Marker	T cell	Cancer cell	Blood	low-throughput	qPCR;Flow cytometry	A Molecular Score by Quantitative PCR as a New Prognostic Tool at Diagnosis for Chronic Lymphocytic Leukemia Patients	ZAP70 (zeta-associated protein 70) and LPL (lipoprotein lipase) expression was associated with IgVH status and with poor outcome	LPL	CL_0000084
20862275	LPL	TFMarker	T cell	Cancer cell	Blood	low-throughput	qPCR;Flow cytometry	A Molecular Score by Quantitative PCR as a New Prognostic Tool at Diagnosis for Chronic Lymphocytic Leukemia Patients	ZAP70 (zeta-associated protein 70) and LPL (lipoprotein lipase) expression was associated with IgVH status and with poor outcome	ZAP70	CL_0000084
20876744	EIF4E	TF	Stem cell	Cancer cell	Breast	low-throughput	Weston blot;RT-PCR;Gene knock down;siRNA knockdown	Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer	EIF4E small interfering RNA (siRNA) decreased both SCD1 and SREBP1 expression, suggesting that SCD1 may be regulated through the mTOR/eIF4E-binding protein 1 axis.	SREBF1;SCD	CL_0000034
20876744	SCD	T Marker	Stem cell	Cancer cell	Breast	low-throughput	Weston blot;RT-PCR;Gene knock down;siRNA knockdown	Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer	SCD siRNA knockdown inhibited breast cancer cell growth, whereas overexpression increased growth.	EIF4E	CL_0000034
20876744	SREBF1	TF Pmarker	Stem cell	Cancer cell	Breast	low-throughput	Weston blot;RT-PCR;Gene knock down;siRNA knockdown	Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer	SREBP1 is a marker in breast cancer.	EIF4E	CL_0000034
20876744	MTOR	TF	Stem cell	Cancer cell	Breast	low-throughput	Weston blot;RT-PCR;Gene knock down;siRNA knockdown	Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer	Mammalian target of rapamycin (mTOR) signaling is a central regulator of protein translation, cell growth, and metabolism.	SCD	CL_0000034
20876809	HNF4A	TF	Liver carcinoma cell	Cancer cell	Liver	low-throughput	Immunohistochemistry;Weston blot;qRT-PCR;Microscopic observation	Hepatocyte Nuclear Factor 4α Suppresses the Development of Hepatocellular Carcinoma	The inhibitory effect of HNF4α on HCC development might be attributed to suppression of hepatocyte EMT and cancer stem cell generation through an inhibition of β-catenin signaling pathways		CL_0001064
20952660	IL17A	T Marker	Colorectal cancer cell	Cancer cell	Colon	low-throughput	Western blot;Flow cytometry	Foxp3+IL-17+ T cells promote development of cancer-initiating cells in colorectal cancer	Il-17 is a marker expressed in colorectal cancer cells	FOXP3	
20952660	FOXP3	TF	Colorectal cancer cell	Cancer cell	Colon	low-throughput	Western blot;Flow cytometry	Foxp3+IL-17+ T cells promote development of cancer-initiating cells in colorectal cancer	The transcription factor FOXP3 binds to the marker IL17A to promote the transformation of cells into colorectal cancer cells  	IL17A	
21276239	NANOG	TF Pmarker	Stem cell	Cancer cell	Embryo	low-throughput	Immunohistochemistry;RT-PCR;Microscopic observation;qPCR	Expression of the embryonic stem cell markerSOX2 in early-stage breast carcinoma	Luripotency-associated transcription factors like NANOG,SOX2 and OCT4 are known as regulators ofcellular identity in embryonic stem cells and morerecently have been identified in tumors of various ori-gins.	POU5F1;SOX2	CL_0000034
21276239	POU5F1	TF Pmarker	Stem cell	Cancer cell	Embryo	low-throughput	Immunohistochemistry;RT-PCR;Microscopic observation;qPCR	Expression of the embryonic stem cell markerSOX2 in early-stage breast carcinoma	Luripotency-associated transcription factors like NANOG,SOX2 and OCT4 are known as regulators ofcellular identity in embryonic stem cells and morerecently have been identified in tumors of various ori-gins.	NANOG;SOX2	CL_0000034
21276239	SOX2	TF Pmarker	Stem cell	Cancer cell	Embryo	low-throughput	Immunohistochemistry;RT-PCR;Microscopic observation;qPCR	Expression of the embryonic stem cell markerSOX2 in early-stage breast carcinoma	Luripotency-associated transcription factors like NANOG,SOX2 and OCT4 are known as regulators ofcellular identity in embryonic stem cells and morerecently have been identified in tumors of various ori-gins.	NANOG;POU5F1	CL_0000034
21278797	MITF	TF	Melanocytes cell	Cancer cell	Skin	low-throughput	Immunofluorescent staining;Flow cytometry;RT-PCR;qPCR;Western blot;Microscopic observation	Mitf is the key molecular switch between mouse or human melanomainitiating cells and their differentiated progeny	Microphthalmia-associated transcription factor (MITF), the master reg-ulator of melanocyte differentiation, increases the tumori-genic potential of melanoma cells and upregulates thestem cell markers OCT4 and NANOG.	NANOG;POU5F1	
21278797	POU5F1	TFMarker	Melanocytes cell	Cancer cell	Skin	low-throughput	Immunofluorescent staining;Flow cytometry;RT-PCR;qPCR;Western blot;Microscopic observation	Mitf is the key molecular switch between mouse or human melanomainitiating cells and their differentiated progeny	Microphthalmia-associated transcription factor (MITF), the master reg-ulator of melanocyte differentiation, increases the tumori-genic potential of melanoma cells and upregulates thestem cell markers OCT4 and NANOG.	MITF	
21278797	NANOG	TFMarker	Melanocytes cell	Cancer cell	Skin	low-throughput	Immunofluorescent staining;Flow cytometry;RT-PCR;qPCR;Western blot;Microscopic observation	Mitf is the key molecular switch between mouse or human melanomainitiating cells and their differentiated progeny	Microphthalmia-associated transcription factor (MITF), the master reg-ulator of melanocyte differentiation, increases the tumori-genic potential of melanoma cells and upregulates thestem cell markers OCT4 and NANOG.	MITF	
21282644	YY1	TF Pmarker	B cell	Cancer cell	Lymph	low-throughput + high-throughput	DNA-seq;ChIP-qPCR;ChIP-seq	Signatures of murine B-cell development implicateYy1 as a regulator of the germinal center-specificprogram	YY1 and its targets to be central regulators of the germinal center B (GCB)-specific transcriptional program with binding of YY1 to select signature genes in GCB cells.		CL_0000236
21283078	MMP9	TFMarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Weston blot;qRT-PCR;RT-PCR;Flow cytometry;Immunofluorescent Staining;Microscopic observation	Slug enhances invasion ability of pancreatic cancer cellsthrough upregulation of matrix metalloproteinase-9 andactin cytoskeleton remodeling	We investigated SLUG, CDH1, and MMP-9 expression using immunohistochemistry in 60 patients with pancreatic cancer and their correlation with carcinoma invasion and metastasis.	SNAI2;CDH1	
21283078	SNAI2	TFMarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Weston blot;qRT-PCR;RT-PCR;Flow cytometry;Immunofluorescent Staining;Microscopic observation	Slug enhances invasion ability of pancreatic cancer cellsthrough upregulation of matrix metalloproteinase-9 andactin cytoskeleton remodeling	We investigated SLUG, CDH1, and MMP-9 expression using immunohistochemistry in 60 patients with pancreatic cancer and their correlation with carcinoma invasion and metastasis.	MMP9;CDH1	
21283078	CDH1	TF Pmarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Weston blot;qRT-PCR;RT-PCR;Flow cytometry;Immunofluorescent Staining;Microscopic observation	Slug enhances invasion ability of pancreatic cancer cellsthrough upregulation of matrix metalloproteinase-9 andactin cytoskeleton remodeling	We investigated SLUG, CDH1, and MMP-9 expression using immunohistochemistry in 60 patients with pancreatic cancer and their correlation with carcinoma invasion and metastasis.	MMP9;SNAI2	
21285251	TWIST1	TF	Stem cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot	DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism	Knockdown of DCAMKL-1 induces pri-miR-200a resulting in down regulation of ZEB1, ZEB2, Snail, Slug and TWIST1 in pancreatic cancer cell lines.	DCLK1	CL_0000034
21285251	DCLK1	T Marker	Stem cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot	DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism	Knockdown of DCAMKL-1 induces pri-miR-200a resulting in down regulation of ZEB1, ZEB2, Snail, Slug and TWIST1 in pancreatic cancer cell lines.	ZEB2;ZEB1;TWIST1	CL_0000034
21285870	PAX8	TFMarker	Kidney carcinoma cell	Cancer cell	Kidney	low-throughput	Immunohistochemistry;Microscopic observation	Expression of PAX8 in Normal and Neoplastic Tissues	PAX2 and PAX8 are nephric-lineage transcriptionfactors and are required for the establishment of renallineage cells and the formation of the kidney.	PAX2	CL_0001064
21285870	PAX2	TFMarker	Kidney carcinoma cell	Cancer cell	Kidney	low-throughput	Immunohistochemistry;Microscopic observation	Expression of PAX8 in Normal and Neoplastic Tissues	PAX2 and PAX8 are nephric-lineage transcriptionfactors and are required for the establishment of renallineage cells and the formation of the kidney.	PAX8	CL_0001064
21287692	TTF1	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput	Microscopic observation;Immunohistochemistry	TTF-1 and Napsin A Double Stain	Immunohistochemistry (IHC) for thyroid transcription factor-1 (TTF-1) is used to confirmthe  diagnosis  of  lung  adenocarcinoma.	NAPSA	CL_0001064
21287692	NAPSA	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput	Microscopic observation;Immunohistochemistry	TTF-1 and Napsin A Double Stain	The double IHC stain, TTF-1/NAPSA, for the identification of pulmonary adenocarcinoma in FNA cell block materials was diagnostically useful.	TTF1	CL_0001064
21288558	POU5F1	TF	Germ cell	Cancer cell	Testis	low-throughput	Immunohistochemistry;Microscopic observation	RNA-binding protein LIN28 is a marker for testicular germcell tumors	We also compared LIN28 with SALL4 (Sal-like 4) and OCT4 (octamer-binding transcription factor 4) in all germ cell tumors.	LIN28A	
21288558	SALL4	TFMarker	Germ cell	Cancer cell	Testis	low-throughput	Immunohistochemistry;Microscopic observation	RNA-binding protein LIN28 is a marker for testicular germcell tumors	We also compared LIN28 with SALL4 (Sal-like 4) and OCT4 (octamer-binding transcription factor 4) in all germ cell tumors.	LIN28A	
21288558	LIN28A	T Marker	Germ cell	Cancer cell	Testis	low-throughput	Immunohistochemistry;Microscopic observation	RNA-binding protein LIN28 is a marker for testicular germcell tumors	We also compared LIN28 with SALL4 (Sal-like 4) and OCT4 (octamer-binding transcription factor 4) in all germ cell tumors.	POU5F1;SALL4	
21288909	MSLN	T Marker	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	Mesothelin (MSLN) may be the most “dramatic” of the tumor markers, being strongly overexpressed in nearly one-third of human malignancies.	RUNX1;KLF6;RUNX2;RUNX3;GLI1;SP1	
21288909	KLF6	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21288909	SP1	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21288909	GLI1	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21288909	RUNX1	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21288909	RUNX2	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21288909	RUNX3	TF	Pancreas cell	Cancer cell	Pancreas	low-throughput + high-throughput	RT-PCR;Western blot;Flow cytometry;RNA-seq	Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers	SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.	MSLN	
21290211	EGFR	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	An epidermal growth factor receptor (EGFR)-targeting agent, is closely related with EGFR mutations in the kinase domain.	KRAS;TP53	CL_0001064
21290211	TP53	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	A DNA fingerprinting analysis to verify the authenticity of each line, and screened each for genetic alterations in the TP53, β-catenin, transforming growth factor beta II (TGFβRII), KRAS and EGFR genes.	EGFR;KRAS	CL_0001064
21290211	KRAS	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	A DNA fingerprinting analysis to verify the authenticity of each line, and screened each for genetic alterations in the TP53, β-catenin, transforming growth factor beta II (TGFβRII), KRAS and EGFR genes.	EGFR;TP53	CL_0001064
21290211	COX2	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	COX-2、MDR1、MXR、CGA and TTF1 are trascription factors in lung cancer cell.	TTF1;CGA;ABCG2	CL_0001064
21290211	ABCG2	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	COX-2、MDR1、MXR、CGA and TTF1 are trascription factors in lung cancer cell.	TTF1;COX2;CGA	CL_0001064
21290211	CGA	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	COX-2、MDR1、MXR、CGA and TTF1 are trascription factors in lung cancer cell.	TTF1;COX2;ABCG2	CL_0001064
21290211	TTF1	TF Pmarker	Lung carcinoma cell	Cancer cell	Lung	low-throughput + high-throughput	RT-PCR;DNA-seq	Establishment and characterization of six human lungcancer cell lines: EGFR, p53 gene mutationsand expressions of drug sensitivity genes	COX-2、MDR1、MXR、CGA and TTF1 are trascription factors in lung cancer cell.	COX2;CGA;ABCG2	CL_0001064
21317881	PAX8	TFMarker	Epithelial cell	Cancer cell	Renal glomerulus	low-throughput	Microscopic observation	PAX 8 expression in non-neoplastic tissues, primary tumors, and metastatic tumors: a comprehensive immunohistochemical study	PAX 8 is a transcription factor that is essential for embryonic development of the kidney, Müllerian organs, and thyroid. and also is a sensitive and specific marker for tumors of renal, Müllerian, or thyroid origin in both primary and metastatic sites.	PAX2	CL_0000066
21317881	PAX2	TFMarker	Epithelial cell	Cancer cell	Renal glomerulus	low-throughput	Microscopic observation	PAX 8 expression in non-neoplastic tissues, primary tumors, and metastatic tumors: a comprehensive immunohistochemical study	Deletion of both PAX 8 and PAX 2 genes prevents generation of the mesonephric (wolffian) duct and subsequent formation of all three embryonic kidneys.	PAX8	CL_0000066
21318373	ELF3	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ELF3 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	EHF	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	EHF is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	ETS1	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ETS1 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	ETV3	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ETV3 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	ETV4	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ETV4 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	ETV6	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ETV6 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	ELF2	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	ELF2 is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	SPDEF	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	SPDEF is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	SPIB	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	SPIB is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21318373	SPIC	TFMarker	Colon Carcinoma cell	Cancer cell	Colon	low-throughput	qPCR;Immunohistochemistry;Microscopic observation;RT-PCR	Analysis of select members of the E26 (ETS) transcription factors family in colorectal cancer	SPIC is a transcription factor expressed in Colon Carcinoma cell,ETS family of transcription factors is act as positive or negative regulators of the expression of genes that are involved in diverse biological processes, including those that control cellular proliferation, differentiation, hematopoiesis, apoptosis, metastasis, tissue remodeling, and angiogenesis.	MMP7;COX2;MMP9	
21321311	SOX9	TF	Stem cell	Cancer cell	Breast	low-throughput	Immunohistochemistry;Microscopic observation;Immunofluorescent staining	Prognostic significance of cytoplasmic SOX9 in invasive ductal carcinoma and metastatic breast cancer	SOX9, a high mobility group (HMG) box transcription factor, is required for development, differentiation and lineage commitment.	MKI67	CL_0000034
21321977	TGFB1	TF Pmarker	Prostate carcinoma cell	Cancer cell	Prostate	low-throughput	qPCR;RT-PCR;Western blot;Immunofluorescent staining	TGF-β1-induced EMT of non-transformed prostate hyperplasia cells is characterized by early induction of SNAI2/Slug	EMT in BPH-1 cells was induced by TGF-β1 treatment and the kinetics of expression of EMT markers, regulators, and selected miRNAs was assessed by western blotting and quantitative RT-PCR.	SNAI2	CL_0001064
21321977	SNAI2	TF Pmarker	Prostate carcinoma cell	Cancer cell	Prostate	low-throughput	qPCR;RT-PCR;Western blot;Immunofluorescent staining	TGF-β1-induced EMT of non-transformed prostate hyperplasia cells is characterized by early induction of SNAI2/Slug	SNAI2/Slug is crucial for TGF-β1-induced vimentin up-regulation and migration of BPH-1 cells.	TGFB1	CL_0001064
21324924	SRF	TF Pmarker	Prostate carcinoma cell	Cancer cell	Prostate	low-throughput	RT-PCR;qRT-PCR	Identification of a Clinically Relevant Androgen-DependentGene Signature in Prostate Cancer	Serum response factor (SRF), which is a MADS box-containing TF that was originally identified by its ability to convey the effects of serum to immediate early response genes.		CL_0001064
21325940	TTF1	TFMarker	nonepithelial cell	Cancer cell	Nerve	low-throughput	Immunohistochemistry;Microscopic observation	Thyroid transcription factor-1 in primary CNS tumors	thyroid transcription factor-1 (TTF-1) is used as a relatively specific and sensitive diagnostic marker of thyroid and lung adenocarcinomas and lung carcinoids but has also been demonstrated in minor proportions of carcinomas from other organs as well as nonepithelial neoplasms.		
21328566	PAX8	TFMarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation	PAX8 is expressed in pancreatic well-differentiated neuroendocrine tumors and in extrapancreatic poorly differentiated neuroendocrine carcinomas in fine-needle aspiration biopsy specimens	Recently, PAX8 has been recognized as a potential immunohistochemical marker of pancreatic neuroendocrine tumors.	TTF1;CDX2	
21328566	TTF1	TFMarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation	PAX8 is expressed in pancreatic well-differentiated neuroendocrine tumors and in extrapancreatic poorly differentiated neuroendocrine carcinomas in fine-needle aspiration biopsy specimens	Other studies have evaluated TTF-1 and CDX-2 immunohistochemistry, although both antibodies are not entirely specific (CDX-2) or sensitive (TTF-1).	CDX2;PAX8	
21328566	CDX2	TFMarker	Pancreas cell	Cancer cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation	PAX8 is expressed in pancreatic well-differentiated neuroendocrine tumors and in extrapancreatic poorly differentiated neuroendocrine carcinomas in fine-needle aspiration biopsy specimens	Other studies have evaluated TTF-1 and CDX-2 immunohistochemistry, although both antibodies are not entirely specific (CDX-2) or sensitive (TTF-1).	TTF1;PAX8	
21336637	BRCA1	TFMarker	Breast carcinoma cell	Cancer cell	Breast	low-throughput	Immunohistochemistry;Microscopic observation	Expression of the stem cell marker ALDH1 in BRCA1 related breast cancer	ALDH1 may therefore be a diagnostic marker and a therapeutic target of BRCA1 related breast cancer.	ALDH1A1	CL_0001064
21336637	ALDH1A1	I Marker	Breast carcinoma cell	Cancer cell	Breast	low-throughput	Immunohistochemistry;Microscopic observation	Expression of the stem cell marker ALDH1 in BRCA1 related breast cancer	ALDH1 may therefore be a diagnostic marker and a therapeutic target of BRCA1 related breast cancer.	BRCA1	CL_0001064
21346776	MITF	TFMarker	Melanocytes cell	Cancer cell	Skin	low-throughput	Western blot;Microscopic observation;RT-PCR	Inhibition of human melanoma cell growth by the dietary flavonoid fisetin is associated with disruption of Wnt/β-catenin signaling and decreased Mitf levels	Microphthalmia-associated transcription factor (MITF), downstream of the Wnt/β-catenin pathway, has become an important prognostic marker of melanoma		
